timestamp,open,high,low,close,volume
1420149600000,1.21038,1.21059,1.21036,1.21043,78.85
1420149900000,1.21043,1.21043,1.2103,1.2103,41.25
1420150200000,1.21031,1.21064,1.21025,1.21035,124.2
1420150500000,1.21038,1.21073,1.21,1.21005,199.75
1420150800000,1.21005,1.21025,1.20999,1.21016,76.32
1420151100000,1.21014,1.21026,1.2101,1.21016,84
1420151400000,1.2102,1.2103,1.2101,1.21016,117.61
1420151700000,1.21017,1.21023,1.21012,1.21022,33.55
1420152000000,1.2102,1.21039,1.21014,1.21039,87.49
1420152300000,1.2104,1.2104,1.21021,1.21024,37.14
1420152600000,1.21024,1.21025,1.21003,1.21018,59.42
1420152900000,1.21019,1.21033,1.21014,1.21014,130.41
1420153200000,1.21015,1.2102,1.21001,1.21007,236.31
1420153500000,1.21007,1.21013,1.21001,1.21007,159.61
1420153800000,1.21009,1.21011,1.20982,1.21002,142.5
1420154100000,1.21002,1.21003,1.20982,1.21002,148.46
1420154400000,1.21002,1.21007,1.20968,1.20969,283.2
1420154700000,1.20969,1.2097,1.20805,1.20835,1591.57
1420155000000,1.20835,1.2084,1.20783,1.208,484.17
1420155300000,1.208,1.20864,1.20798,1.20807,499.51
1420155600000,1.20805,1.20849,1.20804,1.20834,243.05
1420155900000,1.20834,1.20844,1.20825,1.20838,185.76
1420156200000,1.20839,1.20888,1.20837,1.20886,265.58
1420156500000,1.20887,1.20916,1.20867,1.20869,422.68
1420156800000,1.20871,1.2089,1.20869,1.20885,264.52
1420157100000,1.20884,1.20885,1.20842,1.20844,184.8
1420157400000,1.20846,1.20847,1.20843,1.20844,85.19
1420157700000,1.20845,1.20855,1.20844,1.20855,192.77
1420158000000,1.20855,1.2087,1.2085,1.20869,218.46
1420158300000,1.20868,1.20875,1.20855,1.20859,225.86
1420158600000,1.20858,1.20859,1.20799,1.208,358.17
1420158900000,1.208,1.208,1.20722,1.20741,650.64
1420159200000,1.20742,1.20745,1.20697,1.20723,646.29
1420159500000,1.20723,1.20729,1.20701,1.20701,399.53
1420159800000,1.20702,1.20716,1.20699,1.20706,257.17
1420160100000,1.20705,1.20706,1.20668,1.20674,402.91
1420160400000,1.20675,1.20677,1.20633,1.20656,431.44
1420160700000,1.20656,1.20723,1.20656,1.20705,325.62
1420161000000,1.20705,1.2072,1.20685,1.20687,389.15
1420161300000,1.20687,1.20687,1.20647,1.20653,441.29
1420161600000,1.20652,1.20654,1.20575,1.20594,727.7
1420161900000,1.20595,1.20597,1.20535,1.20571,811.6
1420162200000,1.2057,1.20592,1.20519,1.2053,734.04
1420162500000,1.20531,1.20618,1.20528,1.20617,705.15
1420162800000,1.20617,1.20671,1.206,1.2067,681.72
1420163100000,1.20668,1.20699,1.20638,1.20645,367.33
1420163400000,1.20644,1.20652,1.20632,1.20637,295.39
1420163700000,1.20637,1.2068,1.20637,1.2067,293.05
1420164000000,1.2067,1.20682,1.20656,1.20676,360.31
1420164300000,1.20677,1.20687,1.2064,1.20643,323.91
1420164600000,1.20643,1.20655,1.20625,1.20625,242.58
1420164900000,1.20625,1.20625,1.20476,1.20506,835.42
1420165200000,1.20506,1.20567,1.20503,1.20567,377.11
1420165500000,1.2057,1.20609,1.2057,1.20598,312.92
1420165800000,1.20596,1.20598,1.20563,1.20564,249.76
1420166100000,1.20564,1.2064,1.20564,1.20598,459.9
1420166400000,1.20598,1.20638,1.20597,1.2063,359.64
1420166700000,1.20629,1.20629,1.20574,1.20574,327.74
1420167000000,1.20574,1.20596,1.20565,1.20594,285.08
1420167300000,1.20594,1.206,1.20586,1.20588,121.19
1420167600000,1.20586,1.20599,1.20569,1.20599,113.58
1420167900000,1.206,1.20623,1.20598,1.20619,149.58
1420168200000,1.20617,1.20627,1.20616,1.20619,239.61
1420168500000,1.20617,1.20618,1.20566,1.20575,203.98
1420168800000,1.20575,1.20597,1.20573,1.20575,101.67
1420169100000,1.20575,1.20578,1.20564,1.20575,128.01
1420169400000,1.20575,1.20578,1.20566,1.20571,162.95
1420169700000,1.20571,1.20584,1.20552,1.20556,215.03
1420170000000,1.20556,1.20593,1.20555,1.20589,183.04
1420170300000,1.20589,1.20622,1.20589,1.20598,279.42
1420170600000,1.20598,1.20604,1.20571,1.20575,241.03
1420170900000,1.20576,1.20585,1.20564,1.20574,419.76
1420171200000,1.20574,1.20586,1.20552,1.20582,329.65
1420171500000,1.20583,1.20586,1.20565,1.20572,309.13
1420171800000,1.20573,1.20578,1.20569,1.20574,152.49
1420172100000,1.20574,1.20579,1.2056,1.2056,151.79
1420172400000,1.20559,1.20584,1.20559,1.20577,152.43
1420172700000,1.20578,1.20597,1.20578,1.20586,147.89
1420173000000,1.20585,1.20586,1.2055,1.20556,123.03
1420173300000,1.20556,1.20557,1.20492,1.20506,322.23
1420173600000,1.20505,1.20536,1.20499,1.20536,447.14
1420173900000,1.20536,1.20545,1.20521,1.20521,208.89
1420174200000,1.20523,1.20543,1.2052,1.20523,198.55
1420174500000,1.20523,1.20536,1.20515,1.20529,155.26
1420174800000,1.20529,1.2053,1.2052,1.2053,78.3
1420175100000,1.20529,1.20535,1.20461,1.20489,379.78
1420175400000,1.20487,1.20496,1.20475,1.20494,223.42
1420175700000,1.20494,1.2054,1.20494,1.20521,366.35
1420176000000,1.20522,1.20544,1.20522,1.20539,226
1420176300000,1.20539,1.20555,1.20529,1.20551,188.68
1420176600000,1.20552,1.20553,1.20534,1.20535,129.19
1420176900000,1.20535,1.20541,1.20516,1.20541,148.56
1420177200000,1.20541,1.20541,1.20528,1.20537,118.7
1420177500000,1.20537,1.2054,1.20523,1.20524,125.11
1420177800000,1.20526,1.20527,1.20496,1.20512,190.27
1420178100000,1.20512,1.20527,1.20512,1.20517,144.64
1420178400000,1.20517,1.20518,1.20485,1.20488,319.67
1420178700000,1.20487,1.20525,1.20487,1.20525,219.9
1420179000000,1.20525,1.20555,1.20525,1.20548,245.26
1420179300000,1.20547,1.20549,1.20525,1.20541,204.11
1420179600000,1.20538,1.20539,1.2052,1.20533,261.61
1420179900000,1.20535,1.20546,1.20525,1.20538,209.42
1420180200000,1.20539,1.20557,1.20536,1.20545,194.18
1420180500000,1.20545,1.20577,1.20539,1.20565,204.62
1420180800000,1.20568,1.20571,1.20562,1.20565,117.46
1420181100000,1.20566,1.20566,1.20534,1.20537,211.01
1420181400000,1.20537,1.2055,1.20533,1.2055,189.81
1420181700000,1.20548,1.20549,1.20535,1.20546,105.11
1420182000000,1.20545,1.20546,1.20349,1.20422,879.84
1420182300000,1.20422,1.20457,1.20362,1.2039,699.98
1420182600000,1.20394,1.20448,1.20385,1.20416,542.11
1420182900000,1.20416,1.20467,1.20415,1.20436,396.73
1420183200000,1.20436,1.20485,1.20414,1.20473,495.28
1420183500000,1.20474,1.20485,1.20377,1.20378,417.84
1420183800000,1.20377,1.2042,1.20364,1.20396,778.49
1420184100000,1.20396,1.20467,1.20396,1.20465,451.31
1420184400000,1.20465,1.20465,1.20431,1.20436,363.94
1420184700000,1.20436,1.20536,1.20436,1.20505,723.55
1420185000000,1.20503,1.20538,1.20493,1.20509,569.33
1420185300000,1.20507,1.20582,1.20507,1.20561,627.22
1420185600000,1.20564,1.2068,1.20562,1.20643,1129.69
1420185900000,1.2064,1.20654,1.20562,1.20594,731.65
1420186200000,1.20592,1.20663,1.20587,1.2064,923.99
1420186500000,1.2064,1.20678,1.20616,1.20666,645.41
1420186800000,1.20667,1.20697,1.20634,1.20651,535.8
1420187100000,1.20653,1.20654,1.20543,1.20561,714.82
1420187400000,1.20559,1.20586,1.20529,1.20551,708.63
1420187700000,1.2055,1.20556,1.20467,1.20517,716.81
1420188000000,1.20519,1.20557,1.20493,1.20504,603.04
1420188300000,1.20505,1.20525,1.20456,1.20483,749.66
